wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.2,1.8329914111017307,1.8329914111017307,1.1918357945323519,1.1918357945323519,-2.1417067528001046,-2.1417067528001046,0.001348593061442226,0.001348593061442226
1.2023529411764706,2.5793228792371363,2.5793228792371363,0.7079702689075313,0.7079702689075313,-2.9019335119110705,-2.9019335119110705,0.0022751742317135898,0.0022751742317135898
1.204705882352941,3.179131919154318,3.179131919154318,0.6253208480353901,0.6253208480353901,-3.5418016645404085,-3.5418016645404085,0.0025977813577140085,0.0025977813577140085
1.2070588235294117,3.739213910331508,3.739213910331508,0.7133871916279205,0.7133871916279205,-4.156688773314416,-4.156688773314416,0.002253991089495524,0.002253991089495524
1.2094117647058824,4.328724318911027,4.328724318911027,1.1288770039640967,1.1288770039640967,-4.79331242527474,-4.79331242527474,0.0013795437203214475,0.0013795437203214475
1.2117647058823529,5.467753682571352,5.467753682571352,5.2299048593381245,5.2299048593381245,-5.9568357829502645,-5.9568357829502645,0.0002868619347565055,0.0002868619347565055
1.2141176470588235,8.220051315877752,8.220051315877752,1.5919325817521552,1.5919325817521552,-8.717981809114182,-8.717981809114182,0.0009237543649155995,0.0009237543649155995
1.216470588235294,8.855298835217473,8.855298835217473,0.8551088116547836,0.8551088116547836,-9.36984225389677,-9.36984225389677,0.0017205568902641537,0.0017205568902641537
1.2188235294117646,9.385371932320705,9.385371932320705,0.7228962808525983,0.7228962808525983,-9.936347292925065,-9.936347292925065,0.002040412077004533,0.002040412077004533
1.2211764705882353,9.873516918990122,9.873516918990122,0.7909494424182305,0.7909494424182305,-10.472099165256491,-10.472099165256491,0.00184130763901838,0.00184130763901838
1.2235294117647058,10.33124495343664,10.33124495343664,1.1601678794848904,1.1601678794848904,-10.970093344975366,-10.970093344975366,0.0012179781352808722,0.0012179781352808722
1.2258823529411764,10.595314221564367,10.595314221564367,3.667722470944839,3.667722470944839,-11.25530543347805,-11.25530543347805,0.00037262072620600635,0.00037262072620600635
1.228235294117647,8.532989047146263,8.532989047146263,2.543975450051008,2.543975450051008,-9.20278770630134,-9.20278770630134,0.0005266851367953425,0.0005266851367953425
1.2305882352941175,8.882531524076217,8.882531524076217,1.1351493543499156,1.1351493543499156,-9.567078604413446,-9.567078604413446,0.0011772237601949927,0.0011772237601949927
1.2329411764705882,9.30239410708228,9.30239410708228,0.8949346034450879,0.8949346034450879,-10.017725410145529,-10.017725410145529,0.0014920225499298874,0.0014920225499298874
1.2352941176470589,9.695813198235584,9.695813198235584,0.9220628943756645,0.9220628943756645,-10.451558345750536,-10.451558345750536,0.0014292766618308294,0.0014292766618308294
1.2376470588235293,10.01724032179159,10.01724032179159,1.211674106903015,1.211674106903015,-10.808231886299108,-10.808231886299108,0.001058297903354434,0.001058297903354434
1.24,10.046375506434686,10.046375506434686,2.199457628088182,2.199457628088182,-10.857046956182291,-10.857046956182291,0.0005649390083546727,0.0005649390083546727
1.2423529411764704,9.231544600504257,9.231544600504257,2.611327308627628,2.611327308627628,-10.050424250922557,-10.050424250922557,0.00046594675259650423,0.00046594675259650423
1.244705882352941,9.099353159463277,9.099353159463277,1.4860499061922614,1.4860499061922614,-9.92901897565574,-9.92901897565574,0.0008132874309477071,0.0008132874309477071
1.2470588235294118,9.334068616467643,9.334068616467643,1.1669235355943817,1.1669235355943817,-10.186852930383473,-10.186852930383473,0.0010330887963140884,0.0010330887963140884
1.2494117647058822,9.59286329326286,9.59286329326286,1.172711823207703,1.172711823207703,-10.478238385627144,-10.478238385627144,0.0010166663014270919,0.0010166663014270919
1.251764705882353,9.75210199108127,9.75210199108127,1.424942293726508,1.424942293726508,-10.667535224396355,-10.667535224396355,0.0008169993105390633,0.0008169993105390633
1.2541176470588236,9.64204701363726,9.64204701363726,1.8501646722451917,1.8501646722451917,-10.575233887147618,-10.575233887147618,0.0006109921243192797,0.0006109921243192797
1.256470588235294,9.361921548869436,9.361921548869436,1.7429949954429995,1.7429949954429995,-10.301001285573435,-10.301001285573435,0.0006339404590748914,0.0006339404590748914
1.2588235294117647,9.367878460223766,9.367878460223766,1.3817348303527321,1.3817348303527321,-10.311412506013314,-10.311412506013314,0.0007918447967035664,0.0007918447967035664
1.2611764705882353,9.556482120280723,9.556482120280723,1.2780673107823264,1.2780673107823264,-10.513558760934002,-10.513558760934002,0.0008535097657570825,0.0008535097657570825
1.2635294117647058,9.747773293240794,9.747773293240794,1.4563548824510621,1.4563548824510621,-10.727912499304496,-10.727912499304496,0.0007437223019658939,0.0007437223019658939
1.2658823529411765,9.737862855864478,9.737862855864478,2.0336993916687987,2.0336993916687987,-10.74183948468442,-10.74183948468442,0.0005231740878031832,0.0005231740878031832
1.268235294117647,9.260379544143914,9.260379544143914,2.2975839788833357,2.2975839788833357,-10.2791341714373,-10.2791341714373,0.00045172026437557,0.00045172026437557
1.2705882352941176,9.062946528059658,9.062946528059658,1.4884457826478217,1.4884457826478217,-10.084496612929934,-10.084496612929934,0.0006821826072077582,0.0006821826072077582
1.2729411764705882,9.272091714039727,9.272091714039727,1.0938591856058202,1.0938591856058202,-10.291497341700834,-10.291497341700834,0.0009182895059919514,0.0009182895059919514
1.2752941176470587,9.606008823430416,9.606008823430416,1.0145827083794552,1.0145827083794552,-10.628468955770682,-10.628468955770682,0.000988966544788203,0.000988966544788203
1.2776470588235294,9.9631188117454,9.9631188117454,1.1915942636194563,1.1915942636194563,-10.997695488663341,-10.997695488663341,0.0008414101215247275,0.0008414101215247275
