s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths,freqs
-3.1401746951119565,0.014993127083214658,-1.5982108759169835,1.0000063902863874,0.014993127083214658,-3.1401746951119565,1.0000063902863874,-1.5982108759169835,1.5,0.6666666666666666
-3.1400531599443506,0.014955209131279974,-1.6527058679848272,1.0000052160929083,0.014955209131279974,-3.1400531599443506,1.0000052160929083,-1.6527058679848272,1.5020408163265306,0.6657608695652174
-3.139936342386994,0.014917508925004723,-1.70705066921679,1.0000040626882984,0.014917508925004723,-3.139936342386994,1.0000040626882984,-1.70705066921679,1.5040816326530613,0.6648575305291723
-3.1398244478448505,0.014880015630837021,-1.7612459024249514,1.000002934153751,0.014880015630837021,-3.1398244478448505,1.000002934153751,-1.7612459024249514,1.506122448979592,0.6639566395663956
-3.1397176090747014,0.014842718318091787,-1.8152921866723166,1.0000018345250625,0.014842718318091787,-3.1397176090747014,1.0000018345250625,-1.8152921866723166,1.5081632653061225,0.6630581867388362
-3.1396158833498578,0.014805606111050352,-1.8691901376175457,1.0000007676815763,0.014805606111050352,-3.1396158833498578,1.0000007676815763,-1.8691901376175457,1.510204081632653,0.6621621621621622
-3.1395192518381116,0.014768668348617122,-1.9229403677863885,0.9999997372367496,0.014768668348617122,-3.1395192518381116,0.9999997372367496,-1.9229403677863885,1.5122448979591836,0.6612685560053981
-3.1394276214024,0.014731894737127644,-1.9765434867703395,0.9999987464524539,0.014731894737127644,-3.1394276214024,0.9999987464524539,-1.9765434867703395,1.5142857142857142,0.6603773584905661
-3.1393408284931414,0.014695275482819101,-2.0300001013655105,0.9999977981934671,0.014695275482819101,-3.1393408284931414,0.9999977981934671,-2.0300001013655105,1.5163265306122449,0.6594885598923285
-3.1392586444061745,0.014658801396519953,-2.0833108156716866,0.9999968949255336,0.014658801396519953,-3.1392586444061745,0.9999968949255336,-2.0833108156716866,1.5183673469387755,0.6586021505376344
-3.1391807810645904,0.014622463969223587,-2.1364762311709375,0.9999960387519778,0.014622463969223587,-3.1391807810645904,0.9999960387519778,-2.1364762311709375,1.5204081632653061,0.6577181208053691
-3.139106896619074,0.014586255424671039,-2.1894969467996193,0.9999952314706524,0.014586255424671039,-3.139106896619074,0.9999952314706524,-2.1894969467996193,1.5224489795918368,0.6568364611260054
-3.139036600518594,0.01455016875800131,-2.2423735590175773,0.9999944746337611,0.01455016875800131,-3.139036600518594,0.9999944746337611,-2.2423735590175773,1.5244897959183674,0.6559571619812583
-3.1389694580946648,0.014514197770053373,-2.295106661869319,0.999993769592733,0.014514197770053373,-3.1389694580946648,0.999993769592733,-2.295106661869319,1.526530612244898,0.6550802139037433
-3.1389049950437546,0.014478337103328373,-2.3476968470253574,0.9999931175197971,0.014478337103328373,-3.1389049950437546,0.9999931175197971,-2.3476968470253574,1.5285714285714287,0.6542056074766355
