s11a,s11m,s31a,s31m,s41a,s41m,s21a,s21m,s22m,s22a,s33m,s33a,s44m,s44a,s12m,s12a,s34m,s34a,s43m,s43a,s13m,s13a,s24m,s24a,s42m,s42a,s14m,s14a,s23m,s23a,s32m,s32a,wavelengths,freqs
2.719373649653398,0.06170414018303639,1.3283074488347795,0.8614674911075803,-0.2060818872685297,0.014202549945514637,-0.20850046277911866,0.01841616767134872,0.06170414018303639,2.719373649653398,0.06170414018303639,2.719373649653398,0.06170414018303639,2.719373649653398,0.01841616767134872,-0.20850046277911866,0.01841616767134872,-0.20850046277911866,0.01841616767134872,-0.20850046277911866,0.8614674911075803,1.3283074488347795,0.8614674911075803,1.3283074488347795,0.8614674911075803,1.3283074488347795,0.014202549945514637,-0.2060818872685297,0.014202549945514637,-0.2060818872685297,0.014202549945514637,-0.2060818872685297,1.5,0.6666666666666666
2.5808643343306397,0.059132403514478175,1.1320600577256181,0.860673758146964,-0.46110351307690073,0.01575144630495883,-0.46241792193699194,0.02040208068267276,0.059132403514478175,2.5808643343306397,0.059132403514478175,2.5808643343306397,0.059132403514478175,2.5808643343306397,0.02040208068267276,-0.46241792193699194,0.02040208068267276,-0.46241792193699194,0.02040208068267276,-0.46241792193699194,0.860673758146964,1.1320600577256181,0.860673758146964,1.1320600577256181,0.860673758146964,1.1320600577256181,0.01575144630495883,-0.46110351307690073,0.01575144630495883,-0.46110351307690073,0.01575144630495883,-0.46110351307690073,1.5020408163265306,0.6657608695652174
2.435047382389266,0.055275667648603345,0.9366273058464156,0.8602045580496942,-0.7246679477952106,0.017149770444671652,-0.7250502239470916,0.022196547616387893,0.055275667648603345,2.435047382389266,0.055275667648603345,2.435047382389266,0.055275667648603345,2.435047382389266,0.022196547616387893,-0.7250502239470916,0.022196547616387893,-0.7250502239470916,0.022196547616387893,-0.7250502239470916,0.8602045580496942,0.9366273058464156,0.8602045580496942,0.9366273058464156,0.8602045580496942,0.9366273058464156,0.017149770444671652,-0.7246679477952106,0.017149770444671652,-0.7246679477952106,0.017149770444671652,-0.7246679477952106,1.5040816326530613,0.6648575305291723
2.281809482605481,0.05018833103584206,0.7419061151257875,0.8601401076905162,-0.993277010357194,0.0183525917295949,-0.992930950544794,0.02374091630817223,0.05018833103584206,2.281809482605481,0.05018833103584206,2.281809482605481,0.05018833103584206,2.281809482605481,0.02374091630817223,-0.992930950544794,0.02374091630817223,-0.992930950544794,0.02374091630817223,-0.992930950544794,0.8601401076905162,0.7419061151257875,0.8601401076905162,0.7419061151257875,0.8601401076905162,0.7419061151257875,0.0183525917295949,-0.993277010357194,0.0183525917295949,-0.993277010357194,0.0183525917295949,-0.993277010357194,1.506122448979592,0.6639566395663956
2.1199401009207333,0.043983642230060065,0.5477518480747022,0.8605271849696107,-1.2643006040996763,0.019327161225375995,-1.263435118482663,0.024992089099066105,0.043983642230060065,2.1199401009207333,0.043983642230060065,2.1199401009207333,0.043983642230060065,2.1199401009207333,0.024992089099066105,-1.263435118482663,0.024992089099066105,-1.263435118482663,0.024992089099066105,-1.263435118482663,0.8605271849696107,0.5477518480747022,0.8605271849696107,0.5477518480747022,0.8605271849696107,0.5477518480747022,0.019327161225375995,-1.2643006040996763,0.019327161225375995,-1.2643006040996763,0.019327161225375995,-1.2643006040996763,1.5081632653061225,0.6630581867388362
1.9460666432888454,0.036829051818882304,0.35399771785963186,0.8613650637843554,-1.535664187861181,0.020052409177979742,-1.5344813449933308,0.025921972927038385,0.036829051818882304,1.9460666432888454,0.036829051818882304,1.9460666432888454,0.036829051818882304,1.9460666432888454,0.025921972927038385,-1.5344813449933308,0.025921972927038385,-1.5344813449933308,0.025921972927038385,-1.5344813449933308,0.8613650637843554,0.35399771785963186,0.8613650637843554,0.35399771785963186,0.8613650637843554,0.35399771785963186,0.020052409177979742,-1.535664187861181,0.020052409177979742,-1.535664187861181,0.020052409177979742,-1.535664187861181,1.510204081632653,0.6621621621621622
1.7516695656057535,0.02894666923354115,0.16047987042788026,0.862599673424258,-1.80562899609595,0.020518603697437122,-1.8043185518428222,0.02651710928281136,0.02894666923354115,1.7516695656057535,0.02894666923354115,1.7516695656057535,0.02894666923354115,1.7516695656057535,0.02651710928281136,-1.8043185518428222,0.02651710928281136,-1.8043185518428222,0.02651710928281136,-1.8043185518428222,0.862599673424258,0.16047987042788026,0.862599673424258,0.16047987042788026,0.862599673424258,0.16047987042788026,0.020518603697437122,-1.80562899609595,0.020518603697437122,-1.80562899609595,0.020518603697437122,-1.80562899609595,1.5122448979591836,0.6612685560053981
1.512758036596996,0.020638105502190786,-0.03293682302778885,0.8641272097954283,-2.0726378298876362,0.020727164521859742,-2.071374091347971,0.02677848915963484,0.020638105502190786,1.512758036596996,0.020638105502190786,1.512758036596996,0.020638105502190786,1.512758036596996,0.02677848915963484,-2.071374091347971,0.02677848915963484,-2.071374091347971,0.02677848915963484,-2.071374091347971,0.8641272097954283,-0.03293682302778885,0.8641272097954283,-0.03293682302778885,0.8641272097954283,-0.03293682302778885,0.020727164521859742,-2.0726378298876362,0.020727164521859742,-2.0726378298876362,0.020727164521859742,-2.0726378298876362,1.5142857142857142,0.6603773584905661
1.1410030828133277,0.0124515158459981,-0.22633728638985778,0.8658066294120624,-2.3352109944123876,0.02069058943387088,-2.3341497083992615,0.026721505223430177,0.0124515158459981,1.1410030828133277,0.0124515158459981,1.1410030828133277,0.0124515158459981,1.1410030828133277,0.026721505223430177,-2.3341497083992615,0.026721505223430177,-2.3341497083992615,0.026721505223430177,-2.3341497083992615,0.8658066294120624,-0.22633728638985778,0.8658066294120624,-0.22633728638985778,0.8658066294120624,-0.22633728638985778,0.02069058943387088,-2.3352109944123876,0.02069058943387088,-2.3352109944123876,0.02069058943387088,-2.3352109944123876,1.5163265306122449,0.6594885598923285
0.21386554234697464,0.0066416902577370145,-0.4197431166888272,0.8674787943246812,-2.5918876196015272,0.020432369565939967,-2.5911613781139198,0.026375885401945274,0.0066416902577370145,0.21386554234697464,0.0066416902577370145,0.21386554234697464,0.0066416902577370145,0.21386554234697464,0.026375885401945274,-2.5911613781139198,0.026375885401945274,-2.5911613781139198,0.026375885401945274,-2.5911613781139198,0.8674787943246812,-0.4197431166888272,0.8674787943246812,-0.4197431166888272,0.8674787943246812,-0.4197431166888272,0.020432369565939967,-2.5918876196015272,0.020432369565939967,-2.5918876196015272,0.020432369565939967,-2.5918876196015272,1.5183673469387755,0.6586021505376344
