s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths,freqs
3.0045846565662435,0.03533604400203097,-1.2535312350855476,1.0000447868197893,0.03533604400203097,3.0045846565662435,1.0000447868197893,-1.2535312350855476,1.5,0.6666666666666666
2.9960218581988225,0.034703005581352746,-1.309888820603532,1.0000643174256933,0.034703005581352746,2.9960218581988225,1.0000643174256933,-1.309888820603532,1.5020408163265306,0.6657608695652174
2.9890211092032835,0.034043241334303025,-1.366086812104934,1.0000841114929062,0.034043241334303025,2.9890211092032835,1.0000841114929062,-1.366086812104934,1.5040816326530613,0.6648575305291723
2.98374044132031,0.033363075453925535,-1.4221259211429604,1.0001039179776465,0.033363075453925535,2.98374044132031,1.0001039179776465,-1.4221259211429604,1.506122448979592,0.6639566395663956
2.980335866245795,0.0326692879570925,-1.4780068288771537,1.00012349056609,0.0326692879570925,2.980335866245795,1.00012349056609,-1.4780068288771537,1.5081632653061225,0.6630581867388362
2.9789579715485384,0.03196910469218367,-1.5337301870192541,1.0001425900986305,0.03196910469218367,2.9789579715485384,1.0001425900986305,-1.5337301870192541,1.510204081632653,0.6621621621621622
2.97974723918062,0.031270175873348474,-1.5892966189125242,1.0001609868964714,0.031270175873348474,2.97974723918062,1.0001609868964714,-1.5892966189125242,1.5122448979591836,0.6612685560053981
2.9828279322814195,0.030580537806081696,-1.644706720756192,1.0001784629997987,0.030580537806081696,2.9828279322814195,1.0001784629997987,-1.644706720756192,1.5142857142857142,0.6603773584905661
2.9883004806192823,0.029908551820107817,-1.6999610629917008,1.0001948143168227,0.029908551820107817,2.9883004806192823,1.0001948143168227,-1.6999610629917008,1.5163265306122449,0.6594885598923285
2.996232445253426,0.02926281415168529,-1.7550601918677629,1.0002098526726877,0.02926281415168529,2.996232445253426,1.0002098526726877,-1.7550601918677629,1.5183673469387755,0.6586021505376344
3.006648372126024,0.028652030932117094,-1.8100046311982187,1.0002234077370167,0.028652030932117094,3.006648372126024,1.0002234077370167,-1.8100046311982187,1.5204081632653061,0.6577181208053691
3.0195191523293237,0.028084853918746027,-1.864794884319575,1.0002353288025245,0.028084853918746027,3.0195191523293237,1.0002353288025245,-1.864794884319575,1.5224489795918368,0.6568364611260054
3.034751868573145,0.027569675523907128,-1.9194314362471416,1.0002454863809165,0.027569675523907128,3.034751868573145,1.0002454863809165,-1.9194314362471416,1.5244897959183674,0.6559571619812583
3.052181460947861,0.027114386269709218,-1.9739147560503034,1.0002537734505064,0.027114386269709218,3.052181460947861,1.0002537734505064,-1.9739147560503034,1.526530612244898,0.6550802139037433
3.071565788239713,0.026726103895927885,-2.028245299206046,1.0002601072439246,0.026726103895927885,3.071565788239713,1.0002601072439246,-2.028245299206046,1.5285714285714287,0.6542056074766355
3.0925856656939503,0.026410890290959808,-2.082423510567031,1.0002644287819509,0.026410890290959808,3.0925856656939503,1.0002644287819509,-2.082423510567031,1.530612244897959,0.6533333333333333
3.114851110983864,0.026173478722622563,-2.136449826797287,1.0002667047510418,0.026173478722622563,3.114851110983864,1.0002667047510418,-2.136449826797287,1.5326530612244897,0.6524633821571239
3.1379142879751347,0.02601703933390292,-2.1903246793870723,1.000266927004433,0.02601703933390292,3.1379142879751347,1.000266927004433,-2.1903246793870723,1.5346938775510204,0.6515957446808511
3.16128857418619,0.025943006520991713,-2.2440484974126504,1.0002651127236282,0.025943006520991713,3.16128857418619,1.0002651127236282,-2.2440484974126504,1.536734693877551,0.650730411686587
3.1844720576258614,0.025950995869527368,-2.2976217104330843,1.0002613038416863,0.025950995869527368,3.1844720576258614,1.0002613038416863,-2.2976217104330843,1.5387755102040817,0.649867374005305
3.20697284121862,0.026038817337956422,-2.3510447512344137,1.0002555663332227,0.026038817337956422,3.20697284121862,1.0002555663332227,-2.3510447512344137,1.5408163265306123,0.6490066225165563
3.2283331605167316,0.02620258770969322,-2.404318058503782,1.0002479890965792,0.02620258770969322,3.2283331605167316,1.0002479890965792,-2.404318058503782,1.542857142857143,0.6481481481481481
3.248149567399545,0.026436928131134175,-2.4574420793471634,1.0002386825365415,0.026436928131134175,3.248149567399545,1.0002386825365415,-2.4574420793471634,1.5448979591836736,0.6472919418758256
3.266087250450894,0.02673522402682001,-2.5104172716126407,1.000227776856913,0.02673522402682001,3.266087250450894,1.000227776856913,-2.5104172716126407,1.5469387755102042,0.646437994722955
3.2818876774168615,0.027089919547148546,-2.563244105979548,1.0002154200918043,0.027089919547148546,3.2818876774168615,1.0002154200918043,-2.563244105979548,1.5489795918367348,0.6455862977602107
3.295369840527397,0.02749281893856995,-2.6159230677770045,1.0002017759136472,0.02749281893856995,3.295369840527397,1.0002017759136472,-2.6159230677770045,1.5510204081632653,0.6447368421052632
3.30642620795815,0.027935371646388266,-2.6684546585031836,1.0001870212607897,0.027935371646388266,3.30642620795815,1.0001870212607897,-2.6684546585031836,1.5530612244897959,0.6438896189224704
3.315014917582276,0.028408924730655025,-2.7208393970246902,1.0001713438334423,0.028408924730655025,3.315014917582276,1.0001713438334423,-2.7208393970246902,1.5551020408163265,0.6430446194225722
3.3211498115271136,0.028904933431295122,-2.7730778204453577,1.0001549395095686,0.028904933431295122,3.3211498115271136,1.0001549395095686,-2.7730778204453577,1.5571428571428572,0.6422018348623854
3.3248897066718555,0.029415127065607304,-2.825170484644002,1.0001380097319974,0.029415127065607304,3.3248897066718555,1.0001380097319974,-2.825170484644002,1.5591836734693878,0.6413612565445026
