s11a,s11m,s31a,s31m,s41a,s41m,s21a,s21m,s22m,s22a,s33m,s33a,s44m,s44a,s12m,s12a,s34m,s34a,s43m,s43a,s13m,s13a,s24m,s24a,s42m,s42a,s14m,s14a,s23m,s23a,s32m,s32a,wavelengths,freqs
3.2479264925253006,0.05918543893680288,-6.444137285157327,0.9347393376464226,-4.234999312138541,0.006379589415339719,-4.234595240926646,0.008114464848568915,0.05918543893680288,3.2479264925253006,0.05918543893680288,3.2479264925253006,0.05918543893680288,3.2479264925253006,0.008114464848568915,-4.234595240926646,0.008114464848568915,-4.234595240926646,0.008114464848568915,-4.234595240926646,0.9347393376464226,-6.444137285157327,0.9347393376464226,-6.444137285157327,0.9347393376464226,-6.444137285157327,0.006379589415339719,-4.234999312138541,0.006379589415339719,-4.234999312138541,0.006379589415339719,-4.234999312138541,1.5489795918367348,0.6455862977602107
3.1692458734598765,0.0608462751785639,-6.596669544333908,0.9352886294626974,-4.3764732807880975,0.006283965942516125,-4.376201542826547,0.00798707803749431,0.0608462751785639,3.1692458734598765,0.0608462751785639,3.1692458734598765,0.0608462751785639,3.1692458734598765,0.00798707803749431,-4.376201542826547,0.00798707803749431,-4.376201542826547,0.00798707803749431,-4.376201542826547,0.9352886294626974,-6.596669544333908,0.9352886294626974,-6.596669544333908,0.9352886294626974,-6.596669544333908,0.006283965942516125,-4.3764732807880975,0.006283965942516125,-4.3764732807880975,0.006283965942516125,-4.3764732807880975,1.5510204081632653,0.6447368421052632
3.083741834414959,0.06207450707705716,-6.748904507363232,0.9358192017019734,-4.51504886662485,0.006187712315469478,-4.514932055236981,0.007858750867433154,0.06207450707705716,3.083741834414959,0.06207450707705716,3.083741834414959,0.06207450707705716,3.083741834414959,0.007858750867433154,-4.514932055236981,0.007858750867433154,-4.514932055236981,0.007858750867433154,-4.514932055236981,0.9358192017019734,-6.748904507363232,0.9358192017019734,-6.748904507363232,0.9358192017019734,-6.748904507363232,0.006187712315469478,-4.51504886662485,0.006187712315469478,-4.51504886662485,0.006187712315469478,-4.51504886662485,1.5530612244897959,0.6438896189224704
2.9918073770489855,0.0627604934669277,-6.900835698139709,0.9363144233054229,-4.650909722566938,0.00609250844595205,-4.650949963107105,0.0077316006821830496,0.0627604934669277,2.9918073770489855,0.0627604934669277,2.9918073770489855,0.0627604934669277,2.9918073770489855,0.0077316006821830496,-4.650949963107105,0.0077316006821830496,-4.650949963107105,0.0077316006821830496,-4.650949963107105,0.9363144233054229,-6.900835698139709,0.9363144233054229,-6.900835698139709,0.9363144233054229,-6.900835698139709,0.00609250844595205,-4.650909722566938,0.00609250844595205,-4.650909722566938,0.00609250844595205,-4.650909722566938,1.5551020408163265,0.6430446194225722
2.8939356799057387,0.06280963372864054,-7.0524546356862166,0.9367581567314373,-4.7842667353876145,0.005999237675884149,-4.784445506112493,0.007606797038930754,0.06280963372864054,2.8939356799057387,0.06280963372864054,2.8939356799057387,0.06280963372864054,2.8939356799057387,0.007606797038930754,-4.784445506112493,0.007606797038930754,-4.784445506112493,0.007606797038930754,-4.784445506112493,0.9367581567314373,-7.0524546356862166,0.9367581567314373,-7.0524546356862166,0.9367581567314373,-7.0524546356862166,0.005999237675884149,-4.7842667353876145,0.005999237675884149,-4.7842667353876145,0.005999237675884149,-4.7842667353876145,1.5571428571428572,0.6422018348623854
2.7906252594271295,0.06214737622829772,-7.203750214874793,0.9371351238001029,-4.915301065732793,0.005908049055939352,-4.915582916989697,0.007484634516180337,0.06214737622829772,2.7906252594271295,0.06214737622829772,2.7906252594271295,0.06214737622829772,2.7906252594271295,0.007484634516180337,-4.915582916989697,0.007484634516180337,-4.915582916989697,0.007484634516180337,-4.915582916989697,0.9371351238001029,-7.203750214874793,0.9371351238001029,-7.203750214874793,0.9371351238001029,-7.203750214874793,0.005908049055939352,-4.915301065732793,0.005908049055939352,-4.915301065732793,0.005908049055939352,-4.915301065732793,1.5591836734693878,0.6413612565445026
2.682307209520403,0.06072192136829796,-7.354708355590616,0.9374316239353393,-5.0441095824270565,0.005818556874994106,-5.044449191654907,0.0073647674391369156,0.06072192136829796,2.682307209520403,0.06072192136829796,2.682307209520403,0.06072192136829796,2.682307209520403,0.0073647674391369156,-5.044449191654907,0.0073647674391369156,-5.044449191654907,0.0073647674391369156,-5.044449191654907,0.9374316239353393,-7.354708355590616,0.9374316239353393,-7.354708355590616,0.9374316239353393,-7.354708355590616,0.005818556874994106,-5.0441095824270565,0.005818556874994106,-5.0441095824270565,0.005818556874994106,-5.0441095824270565,1.5612244897959184,0.6405228758169934
2.5692864984333688,0.05850513929761883,-7.505312035363159,0.9376364265903041,-5.170662474042955,0.005730151497917405,-5.171013728631045,0.007246576931548721,0.05850513929761883,2.5692864984333688,0.05850513929761883,2.5692864984333688,0.05850513929761883,2.5692864984333688,0.007246576931548721,-5.171013728631045,0.007246576931548721,-5.171013728631045,0.007246576931548721,-5.171013728631045,0.9376364265903041,-7.505312035363159,0.9376364265903041,-7.505312035363159,0.9376364265903041,-7.505312035363159,0.005730151497917405,-5.170662474042955,0.005730151497917405,-5.170662474042955,0.005730151497917405,-5.170662474042955,1.563265306122449,0.639686684073107
2.451684621442094,0.055492244912429746,-7.6555417164662884,0.9377416553551103,-5.29478130118718,0.00564237810988693,-5.295106688615661,0.0071296203047705705,0.055492244912429746,2.451684621442094,0.055492244912429746,2.451684621442094,0.055492244912429746,2.451684621442094,0.0071296203047705705,-5.295106688615661,0.0071296203047705705,-5.295106688615661,0.0071296203047705705,-5.295106688615661,0.9377416553551103,-7.6555417164662884,0.9377416553551103,-7.6555417164662884,0.9377416553551103,-7.6555417164662884,0.00564237810988693,-5.29478130118718,0.00564237810988693,-5.29478130118718,0.00564237810988693,-5.29478130118718,1.5653061224489797,0.6388526727509778
2.3293647397284674,0.05170074570284876,-7.805376099830061,0.9377435202502666,-5.416143122144865,0.005555330498080057,-5.4164216815784405,0.007014101231374014,0.05170074570284876,2.3293647397284674,0.05170074570284876,2.3293647397284674,0.05170074570284876,2.3293647397284674,0.007014101231374014,-5.4164216815784405,0.007014101231374014,-5.4164216815784405,0.007014101231374014,-5.4164216815784405,0.9377435202502666,-7.805376099830061,0.9377435202502666,-7.805376099830061,0.9377435202502666,-7.805376099830061,0.005555330498080057,-5.416143122144865,0.005555330498080057,-5.416143122144865,0.005555330498080057,-5.416143122144865,1.5673469387755103,0.6380208333333333
