s22a,s22m,s32a,s32m,s12a,s12m,s23a,s23m,s33a,s33m,s13a,s13m,s21a,s21m,s31a,s31m,s11a,s11m,wavelengths,freqs
-1.6408394606558572,0.1400317382537489,-2.55691394897631,0.10609435402831927,-1.8463400445520184,0.6101567961621015,-2.5569139499023255,0.10609435399082366,-1.640839460268994,0.14003173830923554,-1.8463400451256387,0.6101567963095902,-1.8486194929418247,0.6110049794099196,-1.8486194930000714,0.6110049794346384,-1.34103449272173,0.06500176354194791,1.5,0.6666666666666666
-2.162415353986585,0.14035969512670687,-3.1462943911993686,0.10351806325511899,-2.1534733346469026,0.6091680687265489,-3.1462943921174897,0.10351806321936233,-2.162415353646096,0.1403596951859177,-2.153473335222377,0.6091680688681168,-2.155966846656693,0.6104428336965522,-2.1559668467138926,0.6104428337208845,-1.5011132672884309,0.06768009946977535,1.5020408163265306,0.6657608695652174
-2.656110173320924,0.13786433496815506,-3.7206577564928494,0.10030983242179303,-2.4588895263987665,0.6085621285913182,-3.7206577574114386,0.10030983238746276,-2.656110173015023,0.1378643350303156,-2.4588895269736817,0.6085621287259154,-2.4619871526345958,0.6101028167368463,-2.4619871526913104,0.6101028167610746,-1.6608377258261044,0.0694081438855339,1.5040816326530613,0.6648575305291723
-3.134884246243584,0.1329822940251925,-4.277889491027755,0.09720599195239381,-2.763003839477777,0.6084787514536585,-4.277889491952509,0.09720599191856627,-3.134884245959515,0.1329822940893548,-2.763003840049399,0.6084787515810927,-2.7668803744723482,0.6100550471890851,-2.7668803745294217,0.6100550472133244,-1.8149357542891995,0.0700984714441544,1.506122448979592,0.6639566395663956
-3.6158691506827862,0.1264222920586207,-4.819476014061191,0.09492239878655372,-3.0662222010386144,0.6089275867012808,-4.819476014992702,0.09492239875178476,-3.615869150405224,0.12642229212398684,-3.06622220160441,0.6089275868220607,-3.070858893856683,0.6103079849742651,-3.0708588939146746,0.6103079849984461,-1.9584112455721534,0.06984484224074372,1.5081632653061225,0.6630581867388362
-4.1188113320960165,0.11891280049965904,-5.350995005346469,0.09397439444530847,-3.368878734060326,0.6098337513319131,-5.350995006277919,0.09397439440804481,-4.118811331807684,0.11891280056544883,-3.368878734618283,0.6098337514471125,-3.3741001715026813,0.6108166387622475,-3.3741001715620875,0.6108166387861805,-2.0871137458032094,0.06892317391553374,1.510204081632653,0.6621621621621622
-4.662726892401116,0.11136336218238668,-5.880769599878776,0.09451214537466293,-3.67122802328256,0.6110619667917865,-5.880769600797713,0.09451214533372036,-4.6627268920832945,0.11136336224750726,-3.67122802383159,0.6110619669029347,-3.6767147246317933,0.6115024048815413,-3.676714724692921,0.6115024049049634,-2.19868275568467,0.06775618232210494,1.5122448979591836,0.6612685560053981
-5.259494976335194,0.10522047033874628,-6.416738327056901,0.09626677450901541,-3.973418583338102,0.6124186559166948,-6.41673832795036,0.0962667744639227,-5.259494975973313,0.10522047040162029,-3.9734185838784972,0.612418656025468,-3.9787360493405677,0.6122774846376491,-3.9787360494035404,0.6122774846602679,-2.293792191613604,0.0668334439371649,1.5142857142857142,0.6603773584905661
-5.903516103395779,0.10235124122070258,-6.963501177990626,0.0986563631664805,-4.275425506812968,0.6136728092388205,-6.963501178849928,0.09865636311750935,-5.903516102993292,0.10235124127980207,-4.275425507346489,0.6136728093464909,-4.280130324805816,0.6130664567887475,-4.280130324870578,0.6130664568102815,-2.377090099734442,0.0665858989582384,1.5163265306122449,0.6594885598923285
-6.565888361384843,0.10393664851039978,-7.521366252436255,0.10099600705772989,-4.577004244041766,0.614625513134408,-7.521366253258424,0.10099600700567882,-6.56588836097197,0.10393664856548407,-4.577004244571023,0.6146255132413164,-4.58081784617425,0.6138209024201592,-4.580817846240597,0.6138209024403813,-2.4566672116957537,0.06724023500539232,1.5183673469387755,0.6586021505376344
-7.209355217441143,0.10923225402258638,-8.08729205320984,0.1027080644862055,-4.877748296136396,0.6152025179442628,-8.087292053996206,0.10270806443211652,-7.209355217056298,0.10923225407527636,-4.877748296663722,0.6152025180496706,-4.880698862960817,0.6145268885314438,-4.880698863028452,0.6145268885502158,-2.541476434218919,0.06872094340803324,1.5204081632653061,0.6577181208053691
-7.81220429773281,0.11585532168601767,-8.656525760067982,0.10346021619068209,-5.177256810253717,0.6155022890457887,-8.656525760822197,0.10346021613559826,-7.812204297397166,0.11585532173872873,-5.177256810780139,0.6155022891482773,-5.179680654047542,0.6152062408657417,-5.179680654116128,0.6152062408830241,-2.638097067908848,0.07066575978894096,1.5224489795918368,0.6568364611260054
-8.372862212903472,0.12127380065662649,-9.224064227318278,0.10321009068568704,-5.4753161650817574,0.6157549621374868,-9.224064228044769,0.10321009063048063,-8.372862212618218,0.12127380071120535,-5.47531616560664,0.6157549622356377,-5.477704134061623,0.6159111865265966,-5.477704134130923,0.6159111865424375,-2.749044879501751,0.07254356152837356,1.5244897959183674,0.6559571619812583
-8.900559979191435,0.12389988465631835,-9.78570754111987,0.10217008833673664,-5.771980510505298,0.6162173021716226,-9.785707541822386,0.10217008828198357,-8.90055997894724,0.12389988471364764,-5.771980511026757,0.6162173022645967,-5.774765454704435,0.6167114450423584,-5.7747654547745775,0.6167114450568802,-2.8731189614287436,0.07379872175898351,1.526530612244898,0.6550802139037433
-9.408306644738323,0.12331020634312256,-10.338795180015904,0.10071956616710635,-6.067519369656548,0.6170734044027415,-10.338795180698146,0.10071956611298044,-9.408306644519403,0.12331020640325066,-6.067519370172228,0.6170734044905679,-6.070925384926693,0.6176751977624768,-6.070925384997688,0.6176751977757129,-3.0065907899506144,0.07396258201902207,1.5285714285714287,0.6542056074766355
-9.910591927233591,0.11997331351152168,-10.882685936350875,0.0992892011233551,-6.362296556462413,0.6183903648746043,-10.882685937014722,0.09928920106966697,-9.910591927021043,0.11997331357398855,-6.362296556970286,0.6183903649580871,-6.36630148643934,0.6188488101695802,-6.366301486511397,0.6188488101814885,-3.1441081889020452,0.07272356028761665,1.530612244897959,0.6533333333333333
-10.422501235661331,0.1148971675937499,-11.41883163901239,0.09823999496147534,-6.656664169210235,0.6201246723888069,-11.418831639657776,0.09823999490778952,-10.422501235432566,0.11489716765762449,-6.6566641697091224,0.6201246724692657,-6.661044653610989,0.6202413359736059,-6.661044653684286,0.6202413359840139,-3.2789623206425547,0.06997273267275664,1.5326530612244897,0.6524633821571239
-10.957622649627764,0.10941702975799503,-11.950205352291668,0.09776740123562329,-6.950901299858352,0.6221455392336267,-11.950205352916807,0.09776740118144771,-10.957622649357916,0.10941702982171729,-6.95090130034817,0.6221455393125765,-6.9553071633179755,0.6218175265494276,-6.955307163392553,0.621817526558046,-3.4028335632845463,0.06584235336684846,1.5346938775510204,0.6515957446808511
-11.523413954378798,0.1050826472005776,-12.480140418682605,0.0978656146072911,-7.245172876590928,0.6242553209924111,-12.480140419284087,0.09786561455222463,-11.523413954048749,0.10508264726186002,-7.245172877065117,0.6242553210699876,-7.249209727898772,0.6234996372101956,-7.249209727974622,0.6234996372167233,-3.5054375051046143,0.06074928923181856,1.536734693877551,0.650730411686587
