wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.2,0.6164010651031379,0.6164010651031379,0.5985604447782861,0.5985604447782861,-0.013896818458863279,-0.013896818458863279,0.002475073232127185,0.002475073232127185
1.2023529411764706,1.8943363745318464,1.8943363745318464,0.4734863776387068,0.4734863776387068,-1.2890688139313178,-1.2890688139313178,0.0033240802764180535,0.0033240802764180535
1.204705882352941,2.7455121594585603,2.7455121594585603,0.4043740247498702,0.4043740247498702,-2.2177493116867537,-2.2177493116867537,0.004069246193962343,0.004069246193962343
1.2070588235294117,3.4662866844745626,3.4662866844745626,0.397778889146931,0.397778889146931,-3.0400626173446206,-3.0400626173446206,0.004048285359346521,0.004048285359346521
1.2094117647058824,4.249434022050613,4.249434022050613,0.4587238928415779,0.4587238928415779,-3.886990207583132,-3.886990207583132,0.003248420546156897,0.003248420546156897
1.2117647058823529,5.32602570600956,5.32602570600956,0.6571525054426774,0.6571525054426774,-4.955327243975633,-4.955327243975633,0.002102335352422023,0.002102335352422023
1.2141176470588235,6.93358826283161,6.93358826283161,0.8005509146981984,0.8005509146981984,-6.524421422863616,-6.524421422863616,0.0017118993588437835,0.0017118993588437835
1.216470588235294,8.197626015139438,8.197626015139438,0.5803104012645977,0.5803104012645977,-7.795512765374293,-7.795512765374293,0.0024675388513260817,0.0024675388513260817
1.2188235294117646,9.005713155119174,9.005713155119174,0.47282596882510824,0.47282596882510824,-8.669615442963725,-8.669615442963725,0.0031158963585300025,0.0031158963585300025
1.2211764705882353,9.684558079921235,9.684558079921235,0.4585246766433975,0.4585246766433975,-9.431542712718343,-9.431542712718343,0.0031406696143606297,0.0031406696143606297
1.2235294117647058,10.40103069819561,10.40103069819561,0.5343235032813384,0.5343235032813384,-10.199570553067286,-10.199570553067286,0.0025239061026331644,0.0025239061026331644
1.2258823529411764,11.348831145478002,11.348831145478002,0.8230854163374453,0.8230854163374453,-11.143802065789327,-11.143802065789327,0.001539333862537681,0.001539333862537681
1.228235294117647,13.012680612427076,13.012680612427076,1.255731391876644,1.255731391876644,-12.780201721984382,-12.780201721984382,0.000997047967492912,0.000997047967492912
1.2305882352941175,14.41500556397969,14.41500556397969,0.8000983249620294,0.8000983249620294,-14.188130773752262,-14.188130773752262,0.001611818943544402,0.001611818943544402
1.2329411764705882,15.198039771592864,15.198039771592864,0.594500727804818,0.594500727804818,-15.0233205909112,-15.0233205909112,0.002215847927015128,0.002215847927015128
1.2352941176470589,15.825931832416149,15.825931832416149,0.5534080085219774,0.5534080085219774,-15.719435630266112,-15.719435630266112,0.002336178019403274,0.002336178019403274
1.2376470588235293,16.451275664634398,16.451275664634398,0.6321335906587423,0.6321335906587423,-16.391240191126787,-16.391240191126787,0.0019371184442353796,0.0019371184442353796
1.24,17.194728933112906,17.194728933112906,0.9931821862739539,0.9931821862739539,-17.137210801609385,-17.137210801609385,0.0011654093490566788,0.0011654093490566788
1.2423529411764704,18.721962966325858,18.721962966325858,2.694731555787605,2.694731555787605,-18.64249303742361,-18.64249303742361,0.00042130427775760083,0.00042130427775760083
1.244705882352941,20.6831173754197,20.6831173754197,1.3344590384867265,1.3344590384867265,-20.602004025622186,-20.602004025622186,0.0008661313621828937,0.0008661313621828937
1.2470588235294118,21.41594127707266,21.41594127707266,0.824286292287809,0.824286292287809,-21.370963352716796,-21.370963352716796,0.0014282813855958719,0.0014282813855958719
1.2494117647058822,21.970838662399192,21.970838662399192,0.719062631901578,0.719062631901578,-21.98162030643545,-21.98162030643545,0.0016189146127489286,0.0016189146127489286
1.251764705882353,22.48969248639008,22.48969248639008,0.792550526931571,0.792550526931571,-22.543090230276448,-22.543090230276448,0.001406484797094033,0.001406484797094033
1.2541176470588236,23.005576222121835,23.005576222121835,1.203483004617308,1.203483004617308,-23.067079749193468,-23.067079749193468,0.0008796312091546172,0.0008796312091546172
1.256470588235294,23.35749462680515,23.35749462680515,5.07563247552005,5.07563247552005,-23.40012807313623,-23.40012807313623,0.00020290016082708085,0.00020290016082708085
1.2588235294117647,21.120736763564622,21.120736763564622,2.2657810927286888,2.2657810927286888,-21.151624223981912,-21.151624223981912,0.0004578129185574634,0.0004578129185574634
1.2611764705882353,21.550251664923156,21.550251664923156,1.1523113471646032,1.1523113471646032,-21.599468649662562,-21.599468649662562,0.0009159080216063893,0.0009159080216063893
1.2635294117647058,21.983068599134516,21.983068599134516,0.9715811057468029,0.9715811057468029,-22.072793268633248,-22.072793268633248,0.001084981833857946,0.001084981833857946
1.2658823529411765,22.38647647924426,22.38647647924426,1.0788389786451422,1.0788389786451422,-22.513655910275197,-22.513655910275197,0.0009488866230377394,0.0009488866230377394
1.268235294117647,22.682567921730573,22.682567921730573,1.6827794849839304,1.6827794849839304,-22.82237074019709,-22.82237074019709,0.0005823164540932036,0.0005823164540932036
1.2705882352941176,22.094061064094397,22.094061064094397,3.750083773569812,3.750083773569812,-22.21817623977512,-22.21817623977512,0.0002532674668266205,0.0002532674668266205
1.2729411764705882,21.479491865569987,21.479491865569987,1.7185416336024535,1.7185416336024535,-21.583295562977334,-21.583295562977334,0.0005517787353932057,0.0005517787353932057
1.2752941176470587,21.77341783430893,21.77341783430893,1.108982022989562,1.108982022989562,-21.877243831776397,-21.877243831776397,0.0008698587843461385,0.0008698587843461385
1.2776470588235294,22.17170189355323,22.17170189355323,1.014035031512774,1.014035031512774,-22.298628880886543,-22.298628880886543,0.0009613754380067933,0.0009613754380067933
