wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.3152941176470587,9.15451154535846,9.15451154535846,1.1702284133049088,1.1702284133049088,-10.625241824127714,-10.625241824127714,4.91002169401398e-05,4.91002169401398e-05
1.3176470588235294,9.318979867168672,9.318979867168672,1.161793094538962,1.161793094538962,-10.814149333156575,-10.814149333156575,4.813055954442197e-05,4.813055954442197e-05
1.32,9.461728065540244,9.461728065540244,1.2895726897076416,1.2895726897076416,-10.953654197212202,-10.953654197212202,4.2491364704681375e-05,4.2491364704681375e-05
1.3223529411764705,9.493163632470292,9.493163632470292,1.5778759626717835,1.5778759626717835,-10.97138811060519,-10.97138811060519,3.4938275963548796e-05,3.4938275963548796e-05
1.3247058823529412,9.329677082916163,9.329677082916163,1.8647436886649136,1.8647436886649136,-10.808456872787113,-10.808456872787113,3.0461710384154094e-05,3.0461710384154094e-05
1.3270588235294118,9.103636919294942,9.103636919294942,1.7720572180604133,1.7720572180604133,-10.60874852516953,-10.60874852516953,3.3151171918863275e-05,3.3151171918863275e-05
1.3294117647058823,9.022062859671559,9.022062859671559,1.4821419584167275,1.4821419584167275,-10.57069856808947,-10.57069856808947,4.0346401484049487e-05,4.0346401484049487e-05
1.331764705882353,9.075191692292876,9.075191692292876,1.2670373712697591,1.2670373712697591,-10.667498507189052,-10.667498507189052,4.702466862348442e-05,4.702466862348442e-05
1.3341176470588234,9.203395309714951,9.203395309714951,1.1664882328207449,1.1664882328207449,-10.823256865420879,-10.823256865420879,5.020917928183862e-05,5.020917928183862e-05
1.336470588235294,9.355988431816376,9.355988431816376,1.183195626319133,1.183195626319133,-10.98323651298066,-10.98323651298066,4.885405776319241e-05,4.885405776319241e-05
1.3388235294117647,9.47164959527873,9.47164959527873,1.3326305509574603,1.3326305509574603,-11.096868281989174,-11.096868281989174,4.36324644342254e-05,4.36324644342254e-05
1.3411764705882352,9.467946176878055,9.467946176878055,1.609858161024504,1.609858161024504,-11.10016318249041,-11.10016318249041,3.702129846734708e-05,3.702129846734708e-05
1.3435294117647059,9.296654047322608,9.296654047322608,1.82674076869832,1.82674076869832,-10.955579015828729,-10.955579015828729,3.360183584364684e-05,3.360183584364684e-05
1.3458823529411765,9.09600286487998,9.09600286487998,1.6988427935059625,1.6988427935059625,-10.797018877955404,-10.797018877955404,3.683320370671688e-05,3.683320370671688e-05
1.348235294117647,9.036513385555269,9.036513385555269,1.4188672454366584,1.4188672454366584,-10.782908017139277,-10.782908017139277,4.4213097360473773e-05,4.4213097360473773e-05
1.3505882352941176,9.110427935168754,9.110427935168754,1.219283947241796,1.219283947241796,-10.892556184285038,-10.892556184285038,5.089365066559325e-05,5.089365066559325e-05
1.3529411764705883,9.256873654233539,9.256873654233539,1.1419491648565037,1.1419491648565037,-11.058696491864993,-11.058696491864993,5.368589757374614e-05,5.368589757374614e-05
1.3552941176470588,9.417714090130673,9.417714090130673,1.1914964128175751,1.1914964128175751,-11.228515291349115,-11.228515291349115,5.1402739393380907e-05,5.1402739393380907e-05
1.3576470588235294,9.52260860399736,9.52260860399736,1.3888991386264335,1.3888991386264335,-11.344401840006137,-11.344401840006137,4.475842723398585e-05,4.475842723398585e-05
1.3599999999999999,9.478117310870573,9.478117310870573,1.7248448553854485,1.7248448553854485,-11.324156522176686,-11.324156522176686,3.6882503648708314e-05,3.6882503648708314e-05
1.3623529411764705,9.241507409943768,9.241507409943768,1.9141700986649615,1.9141700986649615,-11.126269228556467,-11.126269228556467,3.38785669674819e-05,3.38785669674819e-05
1.3647058823529412,9.029531800425909,9.029531800425909,1.6525487894039506,1.6525487894039506,-10.960104042464073,-10.960104042464073,3.951585837725887e-05,3.951585837725887e-05
1.3670588235294117,9.015110736054691,9.015110736054691,1.3203289570178152,1.3203289570178152,-10.98839710759379,-10.98839710759379,4.914086951143606e-05,4.914086951143606e-05
1.3694117647058823,9.140850558355138,9.140850558355138,1.1279053869934166,1.1279053869934166,-11.145403003636893,-11.145403003636893,5.6769160688584236e-05,5.6769160688584236e-05
1.371764705882353,9.33287808773027,9.33287808773027,1.075466642064896,1.075466642064896,-11.3566151195472,-11.3566151195472,5.897138836939455e-05,5.897138836939455e-05
1.3741176470588234,9.531422688702165,9.531422688702165,1.165166507285285,1.165166507285285,-11.569390893050656,-11.569390893050656,5.4528206198568464e-05,5.4528206198568464e-05
1.3764705882352941,9.663333197650887,9.663333197650887,1.456326490707047,1.456326490707047,-11.720838359652834,-11.720838359652834,4.420514848053947e-05,4.420514848053947e-05
1.3788235294117648,9.583256717140195,9.583256717140195,2.0469549770759095,2.0469549770759095,-11.672136496214193,-11.672136496214193,3.195720094890788e-05,3.195720094890788e-05
1.3811764705882352,9.141358717694786,9.141358717694786,2.3576830514931797,2.3576830514931797,-11.271879841459217,-11.271879841459217,2.8028721004498225e-05,2.8028721004498225e-05
1.383529411764706,8.843255628603409,8.843255628603409,1.702089741801243,1.702089741801243,-11.01880571449433,-11.01880571449433,3.8771517551858275e-05,3.8771517551858275e-05
1.3858823529411763,8.887326417299178,8.887326417299178,1.214505546828824,1.214505546828824,-11.102643023743363,-11.102643023743363,5.3705245266112326e-05,5.3705245266112326e-05
1.388235294117647,9.085977920153773,9.085977920153773,0.9892092196171953,0.9892092196171953,-11.33015506394981,-11.33015506394981,6.493346870135057e-05,6.493346870135057e-05
1.3905882352941177,9.349544857711164,9.349544857711164,0.9231209555705163,0.9231209555705163,-11.612871235254232,-11.612871235254232,6.886025738155048e-05,6.886025738155048e-05
1.3929411764705881,9.632336653331306,9.632336653331306,0.9926025945549443,0.9926025945549443,-11.911860465933024,-11.911860465933024,6.401878049941249e-05,6.401878049941249e-05
1.3952941176470588,9.892928213470112,9.892928213470112,1.2660345364003893,1.2660345364003893,-12.194435609584357,-12.194435609584357,5.063557532204961e-05,5.063557532204961e-05
1.3976470588235295,10.035958503178168,10.035958503178168,2.106798945328631,2.106798945328631,-12.369664583084587,-12.369664583084587,3.074076370421105e-05,3.074076370421105e-05
1.4,9.382588525010746,9.382588525010746,4.944268376541042,4.944268376541042,-11.756781192212495,-11.756781192212495,1.315836861162297e-05,1.315836861162297e-05
1.4023529411764706,8.45475604328717,8.45475604328717,2.297775335166258,2.297775335166258,-10.871254901432719,-10.871254901432719,2.8150878679074416e-05,2.8150878679074416e-05
