s11a,s11m,s21a,s21m,s12a,s12m,s22a,s22m,wavelengths,freqs
-3.1409718491616174,0.015000709630095529,-0.2097018318446722,0.999992433228901,-0.20970183184467223,0.9999924332289012,-3.1409718491616125,0.015000709630095439,1.5,0.6666666666666666
-3.140903526468945,0.014961333323375597,-0.26629137439806744,0.9999902597448059,-0.26629137439806727,0.9999902597448062,-3.140903526468943,0.014961333323375415,1.5020408163265306,0.6657608695652174
-3.1408281643786182,0.014922100843705566,-0.3227249516363979,0.9999881988501778,-0.3227249516363979,0.9999881988501779,-3.1408281643786093,0.014922100843705427,1.5040816326530613,0.6648575305291723
-3.1407454551354768,0.014883023027045266,-0.37900321971560713,0.9999862461388813,-0.379003219715607,0.999986246138882,-3.1407454551354714,0.01488302302704502,1.506122448979592,0.6639566395663956
-3.140655193717943,0.01484411106338709,-0.43512683062609464,0.9999843960364447,-0.435126830626095,0.9999843960364452,-3.140655193717938,0.014844111063387068,1.5081632653061225,0.6630581867388362
-3.1405572791075023,0.014805376314805538,-0.4910964322006012,0.9999826421722039,-0.491096432200601,0.9999826421722038,-3.140557279107491,0.014805376314805182,1.510204081632653,0.6621621621621622
-3.1404517139666432,0.014766830133118934,-0.5469126681403272,0.9999809777369211,-0.5469126681403275,0.9999809777369212,-3.1404517139666335,0.014766830133118906,1.5122448979591836,0.6612685560053981
-3.140338602762492,0.0147284836805559,-0.6025761780587062,0.9999793958160186,-0.6025761780587064,0.9999793958160186,-3.1403386027624873,0.014728483680556051,1.5142857142857142,0.6603773584905661
-3.1402181484068286,0.014690347756348024,-0.6580875975417215,0.9999778896904743,-0.658087597541722,0.9999778896904744,-3.1402181484068237,0.014690347756348372,1.5163265306122449,0.6594885598923285
-3.1400906475022543,0.01465243263278767,-0.7134475582227994,0.9999764530992046,-0.7134475582227996,0.9999764530992046,-3.1400906475022485,0.014652432632787786,1.5183673469387755,0.6586021505376344
-3.139956484319652,0.014614747902944772,-0.7686566878699589,0.9999750804584898,-0.7686566878699588,0.9999750804584897,-3.139956484319631,0.014614747902945128,1.5204081632653061,0.6577181208053691
-3.1398161236376896,0.014577302342195333,-0.8237156104820266,0.9999737670356358,-0.8237156104820266,0.9999737670356357,-3.13981612363768,0.014577302342195198,1.5224489795918368,0.6568364611260054
-3.1396701026091907,0.014540103786325418,-0.8786249463911082,0.9999725090757836,-0.8786249463911084,0.9999725090757836,-3.1396701026091844,0.014540103786325328,1.5244897959183674,0.6559571619812583
-3.1395190218122413,0.014503159026859603,-0.9333853123676378,0.9999713038820897,-0.9333853123676381,0.9999713038820895,-3.1395190218122386,0.014503159026859684,1.526530612244898,0.6550802139037433
-3.13936353566705,0.014466473724952645,-0.9879973217249419,0.9999701498508857,-0.9879973217249421,0.9999701498508863,-3.1393635356670457,0.014466473724952598,1.5285714285714287,0.6542056074766355
-3.139204342390256,0.014430052345113851,-1.0424615844202878,0.9999690464647019,-1.0424615844202878,0.9999690464647019,-3.1392043423902503,0.01443005234511396,1.530612244897959,0.6533333333333333
-3.139042173663348,0.014393898107533143,-1.0967787071490345,0.9999679942466141,-1.0967787071490345,0.9999679942466143,-3.1390421736633427,0.014393898107533184,1.5326530612244897,0.6524633821571239
-3.138877784179019,0.014358012960495097,-1.1509492934300969,0.999966994680695,-1.1509492934300969,0.9999669946806952,-3.138877784179025,0.014358012960494883,1.5346938775510204,0.6515957446808511
-3.138711942782874,0.014322395229010567,-1.20497394363495,0.9999660500821702,-1.2049739436349503,0.9999660500821703,-3.1387119427828685,0.014322395229010656,1.536734693877551,0.650730411686587
-3.1385454160592445,0.014287048979571348,-1.2588532552283664,0.9999651635499067,-1.2588532552283669,0.999965163549907,-3.1385454160592468,0.0142870489795714,1.5387755102040817,0.649867374005305
-3.138378967651248,0.014251970034330078,-1.3125878225503724,0.9999643386910757,-1.3125878225503724,0.9999643386910758,-3.1383789676512515,0.014251970034329995,1.5408163265306123,0.6490066225165563
-3.1382133426660497,0.014217155340018056,-1.3661782370259232,0.999963579542336,-1.3661782370259232,0.9999635795423358,-3.138213342666052,0.014217155340018108,1.542857142857143,0.6481481481481481
-3.138049260262404,0.014182600696938451,-1.4196250871415326,0.9999628903811971,-1.4196250871415328,0.9999628903811969,-3.1380492602624064,0.014182600696938564,1.5448979591836736,0.6472919418758256
-3.137887405341549,0.014148300829032628,-1.4729289584517202,0.999962275556875,-1.4729289584517202,0.999962275556875,-3.137887405341553,0.01414830082903282,1.5469387755102042,0.646437994722955
-3.1377284199211197,0.01411425038097972,-1.5260904335930474,0.999961739390746,-1.5260904335930474,0.9999617393907461,-3.1377284199211246,0.014114250380979758,1.5489795918367348,0.6455862977602107
-3.1375729013968274,0.01408043942246829,-1.5791100921675119,0.9999612856914448,-1.579110092167512,0.9999612856914454,-3.137572901396842,0.014080439422468309,1.5510204081632653,0.6447368421052632
-3.1374213862231217,0.014046862775416698,-1.631988510916651,0.9999609182716732,-1.6319885109166508,0.9999609182716727,-3.137421386223125,0.014046862775416656,1.5530612244897959,0.6438896189224704
-3.1372743551536195,0.014013510758302239,-1.6847262634839149,0.9999606401497846,-1.684726263483915,0.9999606401497848,-3.1372743551536155,0.014013510758302145,1.5551020408163265,0.6430446194225722
-3.13713222248359,0.013980374961042376,-1.737323920501857,0.9999604538512393,-1.7373239205018567,0.9999604538512393,-3.137132222483584,0.013980374961042102,1.5571428571428572,0.6422018348623854
