s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths,freqs
-3.140158154171617,0.014999085066760528,-1.5982108886740394,1.0000062120633058,0.014999085066760528,-3.140158154171617,1.0000062120633058,-1.5982108886740394,1.5,0.6666666666666666
-3.1400819014673207,0.014961138938567547,-1.652705870084743,1.0000050388637363,0.014961138938567547,-3.1400819014673207,1.0000050388637363,-1.652705870084743,1.5020408163265306,0.6657608695652174
-3.140009829268091,0.014923334278211782,-1.7070506608399278,1.0000038876288064,0.014923334278211782,-3.140009829268091,1.0000038876288064,-1.7070506608399278,1.5040816326530613,0.6648575305291723
-3.1399415702131535,0.014885662674878524,-1.761245883910089,1.0000027624105274,0.014885662674878524,-3.1399415702131535,1.0000027624105274,-1.761245883910089,1.506122448979592,0.6639566395663956
-3.139876707268269,0.014848116539517797,-1.8152921585094917,1.0000016671800098,0.014848116539517797,-3.139876707268269,1.0000016671800098,-1.8152921585094917,1.5081632653061225,0.6630581867388362
-3.139814778077265,0.01481068918540473,-1.869190100427388,1.000000605722477,0.01481068918540473,-3.139814778077265,1.000000605722477,-1.869190100427388,1.510204081632653,0.6621621621621622
-3.1397552806192417,0.014773374903771976,-1.9229403222915014,0.9999995815394778,0.014773374903771976,-3.1397552806192417,0.9999995815394778,-1.9229403222915014,1.5122448979591836,0.6612685560053981
-3.1396976802613006,0.014736169025146335,-1.9765434337659882,0.999998597776236,0.014736169025146335,-3.1396976802613006,0.999998597776236,-1.9765434337659882,1.5142857142857142,0.6603773584905661
-3.1396414179130216,0.014699067957562503,-2.030000041696005,0.9999976571865502,0.014699067957562503,-3.1396414179130216,0.9999976571865502,-2.030000041696005,1.5163265306122449,0.6594885598923285
-3.139585918709436,0.01466206919744222,-2.0833107502160293,0.9999967621358653,0.01466206919744222,-3.139585918709436,0.9999967621358653,-2.0833107502160293,1.5183673469387755,0.6586021505376344
-3.139530600573553,0.014625171313085885,-2.136476160837678,0.9999959146368975,0.014625171313085885,-3.139530600573553,0.9999959146368975,-2.136476160837678,1.5204081632653061,0.6577181208053691
-3.139474882110184,0.014588373906452583,-2.1894968725277075,0.9999951164009694,0.014588373906452583,-3.139474882110184,0.9999951164009694,-2.1894968725277075,1.5224489795918368,0.6568364611260054
-3.139418189550314,0.014551677560819709,-2.2423734817782623,0.9999943688903793,0.014551677560819709,-3.139418189550314,0.9999943688903793,-2.2423734817782623,1.5244897959183674,0.6559571619812583
-3.1393599627507576,0.014515083782452122,-2.2951065826642383,0.9999936733570776,0.014515083782452122,-3.1393599627507576,0.9999936733570776,-2.2951065826642383,1.526530612244898,0.6550802139037433
-3.1392996605118135,0.014478594941652967,-2.347696766877704,0.9999930308616489,0.014478594941652967,-3.1392996605118135,0.9999930308616489,-2.347696766877704,1.5285714285714287,0.6542056074766355
-3.139236765586149,0.014442214216626729,-2.40014462372953,0.999992442271254,0.014442214216626729,-3.139236765586149,0.999992442271254,-2.40014462372953,1.530612244897959,0.6533333333333333
-3.139170789720965,0.014405945536713689,-2.452450740110377,0.9999919082468334,0.014405945536713689,-3.139170789720965,0.9999919082468334,-2.452450740110377,1.5326530612244897,0.6524633821571239
-3.1391012789102675,0.014369793523032881,-2.504615700411471,0.999991429229903,0.014369793523032881,-3.1391012789102675,0.999991429229903,-2.504615700411471,1.5346938775510204,0.6515957446808511
-3.1390278204016213,0.014333761077967551,-2.556640086384077,0.9999910054320058,0.014333761077967551,-3.1390278204016213,0.9999910054320058,-2.556640086384077,1.536734693877551,0.650730411686587
-3.138950041714672,0.014297858661387967,-2.6085244771137823,0.9999906368842126,0.014297858661387967,-3.138950041714672,0.9999906368842126,-2.6085244771137823,1.5387755102040817,0.649867374005305
-3.138867624872377,0.014262090186164198,-2.660269448719147,0.9999903234292171,0.014262090186164198,-3.138867624872377,0.9999903234292171,-2.660269448719147,1.5408163265306123,0.6490066225165563
-3.138780303414234,0.01422646295297993,-2.7118755743525482,0.9999900647728303,0.01422646295297993,-3.138780303414234,0.9999900647728303,-2.7118755743525482,1.542857142857143,0.6481481481481481
-3.138687870447983,0.014190981660556755,-2.7633434239221057,0.9999898607419243,0.014190981660556755,-3.138687870447983,0.9999898607419243,-2.7633434239221057,1.5448979591836736,0.6472919418758256
-3.1385901727676493,0.014155655405453098,-2.8146735642741083,0.999989710960671,0.014155655405453098,-3.1385901727676493,0.999989710960671,-2.8146735642741083,1.5469387755102042,0.646437994722955
-3.1384871175873528,0.01412049138808707,-2.8658665590111045,0.999989615006188,0.01412049138808707,-3.1384871175873528,0.999989615006188,-2.8658665590111045,1.5489795918367348,0.6455862977602107
-3.1383786736468937,0.014085493787600474,-2.9169229680677398,0.9999895731082101,0.014085493787600474,-3.1383786736468937,0.9999895731082101,-2.9169229680677398,1.5510204081632653,0.6447368421052632
-3.1382648602061467,0.014050672167724168,-2.967843348389284,0.9999895850026137,0.014050672167724168,-3.1382648602061467,0.9999895850026137,-2.967843348389284,1.5530612244897959,0.6438896189224704
-3.1381457564373645,0.014016032186717368,-3.0186282533150006,0.9999896507629649,0.014016032186717368,-3.1381457564373645,0.9999896507629649,-3.0186282533150006,1.5551020408163265,0.6430446194225722
-3.138021494677507,0.013981580154351504,-3.069278232763112,0.9999897704712775,0.013981580154351504,-3.138021494677507,0.9999897704712775,-3.069278232763112,1.5571428571428572,0.6422018348623854
-3.1378922589917932,0.01394732284195957,-3.119793833184843,0.9999899442023916,0.01394732284195957,-3.1378922589917932,0.9999899442023916,-3.119793833184843,1.5591836734693878,0.6413612565445026
