wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.72,26.66361953887504,26.66361953887504,0.24401518726062046,0.24401518726062046,-25.029153414694694,-25.029153414694694,0.0008326701854432863,0.0008326701854432863
1.7223529411764709,27.140580958364264,27.140580958364264,0.21787107887822824,0.21787107887822824,-25.5136476098731,-25.5136476098731,0.0009429865961736937,0.0009429865961736937
1.7247058823529409,27.58706327996408,27.58706327996408,0.2003385814526772,0.2003385814526772,-25.974461180276503,-25.974461180276503,0.001041097395413171,0.001041097395413171
1.7270588235294118,28.015138494952904,28.015138494952904,0.18927789692023378,0.18927789692023378,-26.424546090373344,-26.424546090373344,0.0011183187086451422,0.0011183187086451422
1.7294117647058824,28.436203633122727,28.436203633122727,0.1828145076331836,0.1828145076331836,-26.87451496727284,-26.87451496727284,0.0011704345127194838,0.0011704345127194838
1.731764705882353,28.862015430788738,28.862015430788738,0.17943780487865327,0.17943780487865327,-27.333171866993986,-27.333171866993986,0.001197854305432548,0.001197854305432548
1.7341176470588235,29.303764649360218,29.303764649360218,0.17761507397577844,0.17761507397577844,-27.808223203264372,-27.808223203264372,0.001205911177474182,0.001205911177474182
1.7364705882352938,29.770482353913874,29.770482353913874,0.17583978307225717,0.17583978307225717,-28.30539501564867,-28.30539501564867,0.0012050826603133295,0.0012050826603133295
1.7388235294117647,30.267442740840902,30.267442740840902,0.17240798307034141,0.17240798307034141,-28.82634748992543,-28.82634748992543,0.0012097661707245132,0.0012097661707245132
1.7411764705882353,30.7912320130862,30.7912320130862,0.16591636580294253,0.16591636580294253,-29.365775455243657,-29.365775455243657,0.0012356033661788273,0.0012356033661788273
1.743529411764706,31.329435928486863,31.329435928486863,0.15606562815464245,0.15606562815464245,-29.911345489671238,-29.911345489671238,0.00129448466007456,0.00129448466007456
1.7458823529411764,31.865089499415205,31.865089499415205,0.14423857780133678,0.14423857780133678,-30.44817554645771,-30.44817554645771,0.0013897000196665301,0.0013897000196665301
1.748235294117647,32.383193028479184,32.383193028479184,0.13247066446194072,0.13247066446194072,-30.965923791232967,-30.965923791232967,0.0015153552849045575,0.0015153552849045575
1.7505882352941176,32.875887983287,32.875887983287,0.12227052124291328,0.12227052124291328,-31.461586400225716,-31.461586400225716,0.001659332461841154,0.001659332461841154
1.7529411764705882,33.34183408110785,33.34183408110785,0.11407058326053199,0.11407058326053199,-31.937776965572397,-31.937776965572397,0.0018078865565528542,0.0018078865565528542
1.7552941176470591,33.78427090274286,33.78427090274286,0.1077286416001276,0.1077286416001276,-32.399994785195446,-32.399994785195446,0.001948608483436756,0.001948608483436756
1.7576470588235293,34.20999792228615,34.20999792228615,0.10279040791241797,0.10279040791241797,-32.85414205630825,-32.85414205630825,0.0020723808086014644,0.0020723808086014644
1.76,34.62724012249595,34.62724012249595,0.09877241216881372,0.09877241216881372,-33.305905260709146,-33.305905260709146,0.0021742756411777344,0.0021742756411777344
